Covaldea_	Covaldea_i	Codigo	Nombre	Latitude	Longitude	X_coord	Y_coord	Muni_cov	Setaccu	Codemun	Ald88num	Ald74off	Ald74name	Depto74	Codemun74
38	402	20101	Trujillo	15.89439139	-85.96040898	611281.3	1759667	201	3	201	20101	20100	TRUJILLO	2	201
39	16	10704	Barra Ulua	15.89236621	-87.72116022	422806.2	1759443	107	0	506	10704	10703	BARRA DE ULUA	1	107
40	388	20302	Ciriboya	15.89071171	-85.18078527	694762.2	1759260	203	3	203	20302	20301	CIRIBOYA	2	203
41	2076	90205	Cocobila	15.88816215	-84.78765117	736874.1	1758978	902	3	902	90205	90203	COCOBILA	9	902
43	372	20601	Santa Fe	15.87820802	-86.03252334	603569.4	1757877	206	3	206	20601	20500	SANTA FE	2	205
44	371	20604	San Antonio	15.87602009	-86.05895848	600740.3	1757635	206	3	206	20604	20503	SAN ANTONIO	2	205
45	2074	90209	Nueva Jerusalen	15.87592064	-84.75407675	740485.4	1757624	902	3	902	90209	90206	PALACIOS	9	902
46	370	20602	Guadalupe	15.8755138	-86.07561936	598956.8	1757579	206	3	206	20602	20501	GUADALUPE	2	205
47	389	20303	Cusuna	15.8726478	-85.22451958	690095.4	1757262	203	3	203	20303	20302	CUSUMA	2	203
48	1003	50605	Barra de Chamelecon	15.87197877	-87.78626199	415828.7	1757188	506	3	506	50605	50604	BARRA DEL CHAMELECON	5	506
49	1002	50635	Saraguayna	15.8695377	-87.7678228	417801.8	1756918	506	3	506	50635	50634	SARAGUAYNA	5	506
50	390	20307	Punta de Piedra	15.8688325	-85.24077999	688357.4	1756840	203	3	203	20307	20304	PUNTA DE PIEDRA	2	203
51	35	10763	Rio Tinto	15.86800977	-87.66481029	428829.7	1756749	107	0	0	10763	10742	RIO TINTO	1	107
52	1166	50603	Bajamar	15.86553253	-87.85470621	408498.1	1756475	506	3	506	50603	50602	BAJA MAR	5	506
53	369	20603	Plan Grande	15.86498103	-86.16979804	588878.6	1756414	206	3	206	20603	20502	PLAN GRANDE	2	205
54	2073	90212	Rio Platano	15.86429391	-84.69991882	746301.9	1756338	902	3	902	90212	90208	RIO PLATANO	9	902
55	1162	50623	La Sabana	15.85808274	-87.79034846	415385.4	1755651	506	3	506	50623	50624	LA SABANA	5	506
56	404	20103	Chapagua	15.8554518	-85.78594229	629984.6	1755360	201	3	201	20103	20103	CHAPAGUA	2	201
57	1165	50634	Santa Ines	15.84851734	-87.85067179	408922.4	1754593	506	3	506	50634	50633	SANTA INES	5	506
58	405	20102	Col. Aguan	15.84833652	-85.80314477	628147	1754573	201	3	201	20102	20102	COLONIA DEL AGUAN	2	201
59	401	20401	Limon	15.8478031	-85.50675871	659888.4	1754514	204	3	204	20401	20400	LIMON	2	204
61	989	50638	Travesia	15.84076918	-87.90471998	403131.5	1753736	506	3	506	50638	50637	TRAVESIA	5	506
62	406	20109	Tarros	15.83915988	-85.81696194	626673.1	1753558	201	3	201	20109	20108	TARROS	2	201
63	1164	50611	Chameleconcito	15.82707201	-87.85242251	408725.3	1752221	506	3	506	50611	50612	CHAMELECONCITO	5	506
64	1167	50601	Puerto Cortes	15.82386244	-87.94354209	398966	1751866	506	3	506	50601	50600	PUERTO CORTES	5	506
67	378	20402	Francia	15.8108795	-85.59645758	650309.1	1750430	204	3	204	20402	20401	FRANCIA	2	204
68	1163	50606	Bulichampa	15.80725403	-87.85032624	408940.9	1750029	506	3	506	50606	50605	BULICHAMPA	5	506
69	1193	50614	El Chile	15.80503898	-87.88311703	405428.1	1749784	506	3	506	50614	50615	EL CHILE	5	506
71	100	10309	Colorado Barra	15.8001116	-87.30513512	467323.9	1749239	103	0	108	10309	10307	COLORADO BARRA	1	103
72	1194	50624	Las Delicias	15.79761626	-87.85671167	408252.7	1748963	506	3	506	50624	50625	LAS DELICIAS # 1	5	506
73	376	20310	Sico	15.79630531	-85.10569892	702898.3	1748818	203	3	203	20310	20307	SICO	2	203
75	52	10746	Los Cerritos	15.79448805	-87.64755144	430652.3	1748617	107	3	107	10746	10729	LOS CERRITOS	1	107
76	2068	90202	Barra Patuca	15.79418066	-84.29423092	789876.9	1748583	902	3	902	90202	90201	BARRA PATUCA	9	902
77	1192	50626	Medina Abajo	15.79226395	-87.9136521	402151.7	1748371	506	3	506	50626	50627	MEDINA ABAJO	5	506
78	111	10728	El Triunfo de La Cruz	15.78868369	-87.40897154	456201.7	1747975	107	3	107	10728	10717	EL TRIUNFO DE LA CRU	1	107
80	980	10727	El Tigre	15.78764396	-87.77697042	416788.9	1747860	107	3	107	10727	10716	EL TIGRE	1	107
81	222	10421	Nueva Armenia	15.78680314	-86.50483685	553029.6	1747767	104	3	104	10421	10419	NUEVA ARMENIA	1	104
82	101	10324	Nueva Go	15.78594424	-87.25185305	473027.9	1747672	103	3	103	10324	10327	NUEVA GO	1	103
83	243	20217	Rio Esteban	15.78533849	-86.29425592	575583.4	1747605	202	3	202	20217	20206	RIO ESTEBAN	2	202
84	1195	50619	La Campana	15.78366589	-87.85132379	408823.5	1747420	506	3	506	50619	50607	CAMPANA	5	506
85	981	10716	Champerio o El Triunfo de Esquipulas	15.78136946	-87.79036385	415351.8	1747166	107	3	107	10716	10722	LA FLORIDA	1	107
86	1169	50326	Tulian Campo	15.77896453	-87.9686546	396253.8	1746900	503	3	503	50326	50325	TULIAN	5	503
87	41	10774	Tornabe	15.77276235	-87.52698352	443558.6	1746214	107	0	0	10774	10749	TORNABE	1	107
88	188	10306	Cayo de Venado	15.77267194	-87.22652344	475739	1746204	103	3	103	10306	10305	CAYO DE VENADO	1	103
89	226	10117	Sambo Creek	15.77241879	-86.63012595	539614.3	1746176	101	3	101	10117	10108	SAMBO CREEK	1	101
90	982	10749	Meroa Rio	15.77174975	-87.79378271	414981.6	1746102	107	3	107	10749	10732	MEROA RIO	1	107
94	187	10328	Rosita	15.76727441	-87.21363101	477119.2	1745607	103	3	103	10328	10332	ROSITA	1	103
95	53	10703	Agua Chiquita	15.76710263	-87.64918784	430467.7	1745588	107	3	107	10703	10702	AGUA CHIQUITA	1	107
96	1171	50310	Chivana	15.76503222	-87.9951898	393404.2	1745359	503	3	503	50310	50309	CHIVANA	5	503
97	1191	50612	El Balsamo	15.76323304	-87.9296915	400419.6	1745160	506	3	506	50612	50613	EL BALSAMO	5	506
98	227	10104	Corozal	15.76310646	-86.6859051	533641.7	1745146	101	3	101	10104	10102	COROZAL	1	101
99	2072	90201	Brus Laguna	15.76180455	-84.53929618	763645.9	1745002	902	0	0	90201	90200	BRUS LAGUNA	9	902
100	225	10425	Roma	15.76176838	-86.59315324	543576.5	1744998	104	3	104	10425	10423	ROMA	1	104
101	223	10409	El Cacao	15.76118975	-86.54361398	548882.8	1744934	104	3	104	10409	10402	CACAO	1	104
102	224	10426	Salitran	15.76051167	-86.57264705	545773.2	1744859	104	3	104	10426	10424	SALITRAN	1	104
104	117	10768	San Juan	15.75990591	-87.49794062	446665.9	1744792	107	0	0	10768	10746	SAN JUAN	1	107
105	112	10744	Las Palmas	15.75937249	-87.38737058	458509.1	1744733	107	3	107	10744	10727	LAS PALMAS	1	107
106	198	10101	La Ceiba	15.75823331	-86.78997664	522495.4	1744607	101	3	101	10101	10100	LA CEIBA	1	101
107	246	20201	Balfate	15.7580977	-86.37805992	566616.7	1744592	202	3	202	20201	20200	BALFATE	2	202
108	184	10504	Boca Cerrada	15.75771797	-87.10355608	488908.2	1744550	105	3	105	10504	10502	BOCA CERRADA	1	105
109	1004	50613	El Bun	15.75694948	-87.83807582	410230.7	1744465	506	3	506	50613	50614	EL BUN	5	506
110	116	10701	Tela	15.7568229	-87.45731732	451016.4	1744451	107	3	107	10701	10700	TELA	1	107
111	230	10108	El Peru	15.75626235	-86.72644169	529300.9	1744389	101	3	101	10108	10103	EL PERU	1	101
112	228	10114	Piedra Pintada o La Colorada	15.75595495	-86.69377333	532800.1	1744355	101	3	101	10114	10106	PIEDRA PINTADA	1	101
114	1335	50301	Omoa	15.75477961	-88.03831678	388778.7	1744225	503	3	503	50301	50300	OMOA	5	503
116	1196	50604	Baracoa	15.7538755	-87.85252685	408681.3	1744125	506	3	506	50604	50603	BARACOA	5	506
117	1243	50312	La Camisa	15.75349578	-88.00516444	392329.6	1744083	503	3	503	50312	50311	LA CAMISA	5	503
118	114	10759	Piedras Gordas	15.75330591	-87.42689907	454273.8	1744062	107	3	107	10759	10739	PIEDRAS GORDAS	1	107
119	245	20218	San Luis	15.7525555	-86.37436877	567013.9	1743979	202	3	202	20218	20207	SAN LUIS	2	202
120	1188	50631	Puente Baracoa	15.75115413	-87.83480161	410578.9	1743824	506	3	506	50631	50631	PUENTE BARACOA	5	506
122	250	10414	El Zapote	15.74814344	-86.49888975	553676.7	1743491	104	3	104	10414	10413	EL ZAPOTE	1	104
123	1190	50622	La Pita	15.74796262	-87.94741439	398513.5	1743471	506	3	506	50622	50623	LA PITA	5	506
124	251	10410	El Diamante	15.74771851	-86.48751838	554894.9	1743444	104	3	104	10410	10409	EL DIAMANTE	1	104
125	407	20107	La Brea	15.7461996	-85.98870998	608330.5	1743276	201	3	201	20107	20106	LA BREA	2	201
127	984	10747	Melcher Diez y Siete	15.74572042	-87.76385304	418177	1743223	107	3	107	10747	10752	MELCHER 17	1	107
128	102	10307	Ceibita Way	15.74524125	-87.26543931	471567.2	1743170	103	3	103	10307	10306	CEIBITA WAY	1	103
129	1172	50302	Barbas Cheles	15.74514179	-87.98280247	394720.9	1743159	503	3	503	50302	50301	BARBAS CHELES	5	503
130	247	20213	Lis Lis	15.74373138	-86.39569655	564732.1	1743003	202	3	202	20213	20205	LIS LIS # 1	2	202
131	209	10204	Campo Salado Barra	15.74369522	-86.99856698	500153.5	1742999	102	3	102	10204	10203	CAMPO SALADO BARRA	1	102
133	1197	50627	Nisperales	15.74306234	-87.89207467	404439.7	1742929	506	3	506	50627	50628	NISPERALES	5	506
136	190	10331	Sombra Verde	15.74085631	-87.24567522	473683.7	1742685	103	3	103	10331	10337	SOMBRA VERDE	1	103
137	113	10718	El Cedro	15.74054891	-87.41132552	455939.2	1742651	107	3	107	10718	10708	EL CEDRO	1	107
138	248	20212	Limera	15.74019631	-86.43766297	560237.6	1742612	202	3	202	20212	20203	LIMERA	2	202
139	1199	50609	Colonia Gracias a Dios	15.74004261	-87.8727134	406512.5	1742595	506	3	506	50609	50619	GRACIAS A DIOS	5	506
140	189	10305	Campo Nuevo	15.73873165	-87.22056437	476373.3	1742450	103	3	103	10305	10304	CAMPO NUEVO	1	103
141	40	10762	Puerto Arturo	15.73868644	-87.50389969	446022	1742445	107	3	107	10762	10740	PUERTO ARTURO	1	107
143	1180	50633	Robles	15.73844233	-87.77902236	416549	1742418	506	3	506	50633	50632	ROBLES	5	506
144	252	10405	Ceiba Grande	15.73701383	-86.45815615	558043.2	1742260	104	3	104	10405	10405	CEIBA GRANDE	1	104
145	1189	50602	Agua Caliente	15.73698671	-87.94791512	398454.4	1742257	506	0	502	50602	50601	AGUA CALIENTE	5	506
147	1198	50630	Puente Alto	15.73404835	-87.87076592	406718.4	1741932	506	3	506	50630	50630	PUENTE ALTO	5	506
148	1244	50321	Rio Coto	15.73329793	-88.06319048	386102	1741849	503	3	503	50321	50320	RIO COTO	5	503
150	29	10810	Hicaque	15.73151683	-87.34340835	463212.9	1741652	108	3	108	10810	10314	HICAQUE	1	103
151	207	10201	El Porvenir	15.73110998	-86.89637433	511100.7	1741607	102	3	102	10201	10200	EL PORVENIR	1	102
152	381	21001	Bonito Oriental	15.73018779	-85.73516148	635505.8	1741505	210	3	210	21001	20101	BONITO ORIENTAL	2	201
153	178	10302	Agua Caliente	15.7297719	-87.20835581	477680.1	1741459	103	3	103	10302	10301	AGUA CALIENTE	1	103
155	39	10771	Tarralosa	15.72860559	-87.50821727	445556.8	1741330	107	3	107	10771	10724	LA TARRALOSA	1	107
156	1245	50316	Milla Tres	15.72819874	-88.06793229	385591.1	1741285	503	3	503	50316	50314	MILLA 3	5	503
158	54	10735	La Fortuna	15.7281445	-87.65440972	429895	1741279	107	3	107	10735	10721	LA FORTUNA	1	107
159	396	20104	El Coco No.1	15.7261012	-86.05968333	600736.9	1741053	201	3	201	20104	20104	EL COCO	2	201
160	1184	50615	El Nispero	15.72589326	-87.8068557	413561.9	1741030	506	3	506	50615	50616	EL NISPERO	5	506
162	1242	50313	Los Laureles	15.7243201	-88.00759688	392053.6	1740856	503	3	503	50313	50312	LOS LAURELES	5	503
163	210	10206	Ceiba Mocha	15.72389517	-86.95630692	504680.7	1740809	102	3	102	10206	10204	CEIBA MOCHA	1	102
164	191	10315	La Tarralosa	15.72334366	-87.23192014	475155	1740748	103	3	103	10315	10339	TARROLOSA	1	103
165	1168	50324	San Jose de Jalisco	15.72309955	-87.99195595	393728.8	1740721	503	3	503	50324	50322	SAN JOSE DE JALISCO	5	503
167	208	10202	Burgos	15.72196941	-86.91165975	509463.7	1740596	102	3	102	10202	10201	BURGOS	1	102
169	44	10731	Kilometro Trece	15.72109242	-87.57123309	438803.7	1740499	107	3	107	10731	10719	KM. 13	1	107
170	206	10211	Lopez Bonito	15.7208031	-86.87194445	513718.4	1740467	102	3	102	10211	10209	LOPEZ BONITO	1	102
172	221	10422	Papaloteca	15.72036008	-86.50488415	553041.8	1740418	104	3	104	10422	10420	PAPALOTECA	1	104
173	1205	50225	Las Flores	15.72001652	-87.94717286	398525.5	1740380	502	3	502	50225	50230	LAS FLORES	5	502
174	192	10301	Esparta	15.71973625	-87.17647484	481094.4	1740349	103	3	103	10301	10300	ESPARTA	1	103
175	103	10319	Las Flores de Lean	15.71922994	-87.26943986	471135	1740293	103	3	103	10319	10322	LAS FLORES DE LEAN	1	103
176	410	20915	Quebrada de Arena	15.71856994	-85.88282475	619690.7	1740220	209	3	209	20915	20911	QUEBRADA DE AGUA	2	209
177	220	10401	Jutiapa	15.71849761	-86.5117063	552311.4	1740212	104	3	104	10401	10400	JUTIAPA	1	104
179	55	10738	La Union	15.71724994	-87.68080243	427063.6	1740074	107	3	107	10738	10751	LA UNION	1	107
181	1000	50315	Milla Cuatro	15.7166261	-88.07861653	384439.8	1740005	503	3	503	50315	50315	MILLA 4	5	503
182	1187	50616	El Seis	15.71587568	-87.83516432	410524.6	1739922	506	3	506	50616	50618	EL SEIS	5	506
183	1181	50620	La Caoba	15.71576719	-87.77774223	416676.9	1739910	506	3	506	50620	50621	LA CAOBA	5	506
184	27	10803	Atenas de San Cristobal o Km. Diez y Siete	15.71562253	-87.32402909	465286.2	1739894	108	3	108	10803	10303	ATENAS DE SN. CRISTO	1	103
185	118	10732	Lancetilla	15.71366061	-87.45448775	451309.2	1739677	107	3	107	10732	10723	LACENTILLAS	1	107
186	1186	50607	Calan	15.71342554	-87.82852589	411234.8	1739651	506	3	506	50607	50606	CALAN	5	506
187	21	10212	Orotino	15.71169868	-86.94218692	506193.7	1739460	102	3	102	10212	10210	OROTINA	1	102
188	45	10764	San Alejo	15.71140936	-87.5819407	437653.6	1739428	107	3	107	10764	10743	SAN ALEJO	1	107
190	1183	50636	Sauce	15.71069511	-87.79451335	414877.9	1739349	506	3	506	50636	50635	SAUCE	5	506
191	193	10313	La Guadalupe	15.71046908	-87.16078747	482774.2	1739324	103	3	103	10313	10318	LA GUADALUPE	1	103
192	15	10724	El Junco	15.70973675	-87.52234638	444038	1739243	107	3	107	10724	10711	EL JUNCO	1	107
194	42	10722	El Guano	15.7089773	-87.53647275	442524.3	1739159	107	3	107	10722	10710	EL GUANO	1	107
195	1182	50608	Cedros	15.70872414	-87.78277027	416135.3	1739131	506	3	506	50608	50610	CEDROS	5	506
196	1185	50629	Paleto	15.70861565	-87.80750808	413484.7	1739119	506	3	506	50629	50629	PALETO	5	506
198	98	10826	Sisama	15.70526139	-87.29801357	468071.7	1738748	108	3	108	10826	10336	SISANA # 1	1	103
199	204	10102	Armenia Bonito	15.70437536	-86.86153632	514834.6	1738650	101	3	101	10102	10101	ARMENIA BONITO	1	101
201	1203	50235	Rio Blanquito	15.70348028	-87.90635911	402890.6	1738551	502	3	502	50235	50239	RIO BLANQUITO	5	502
202	43	10725	El Jute	15.70327234	-87.56008139	439993.2	1738528	107	3	107	10725	10712	EL JUTE	1	107
205	1200	50240	Victoria de Cristales	15.70282028	-87.94226284	399043.1	1738478	502	3	502	50240	50243	VIC.CRISTLS. O MINAS	5	502
206	104	10325	Paris de Lean	15.70275699	-87.27923904	470082.8	1738471	103	3	103	10325	10328	PARIS	1	103
208	203	10213	San Jose de Montevideo	15.69973725	-86.86593185	514364	1738137	102	3	102	10213	10211	SN. JOSE DE MONTEVID	1	102
209	58	10775	Villafranca	15.69940273	-87.69527252	425506.8	1738100	107	3	107	10775	10755	VILLAFRANCA	1	107
210	1206	50211	El Rancho	15.69925807	-87.95308864	397881.3	1738084	502	3	502	50211	50212	EL RANCHO	5	502
211	211	10207	El Gancho	15.69898683	-86.93801093	506641.5	1738054	102	3	102	10207	10205	EL GANCHO	1	102
215	1001	50309	Chachaguala o Col. Tegucigalpita	15.69734134	-88.08842897	383377.4	1737872	503	3	503	50309	50308	CHACHAGUALA	5	503
216	186	10518	Tierra Firme	15.69608462	-87.12710675	486381.6	1737733	105	3	105	10518	10515	TIERRA FIRME O PUNTA	1	105
217	1248	50304	Barra del Motagua	15.69587668	-88.21405664	369913.7	1737710	503	3	503	50304	50303	BARRA DEL MOTAGUA	5	503
219	183	10608	Rio Cuero	15.69558736	-87.08120559	491299.5	1737678	106	3	106	10608	10608	RIO CUERO	1	106
220	212	10203	Caceres	15.69551503	-86.95725659	504579.6	1737670	102	3	102	10203	10202	CACERES	1	102
222	409	20916	Salama	15.69486407	-85.915468	616206.4	1737598	209	3	209	20916	20912	SALAMA	2	209
223	38	10767	San Jose	15.69480078	-87.52005997	444278.9	1737591	107	3	107	10767	10745	SAN JOSE	1	107
224	119	10733	La Esperanza	15.69452955	-87.49212934	447271.5	1737561	107	3	107	10733	10750	LA ESPERANZA	1	107
225	213	10210	La Union	15.69437585	-86.97200637	502999.3	1737544	102	3	102	10210	10208	LA UNION	1	102
226	985	10773	Toloa Creek	15.69421311	-87.7661497	417910.3	1737526	107	3	107	10773	10754	TOLOA CRICK	1	107
227	179	10607	Paguales	15.69302871	-87.05417621	494195.4	1737395	106	3	106	10607	10607	PAGUALES	1	106
228	218	10413	El Zapotal	15.69282981	-86.54124757	549152.7	1737373	104	3	104	10413	10412	EL ZAPOTAL	1	104
229	256	10427	Saltos	15.6923235	-86.47375676	556384.3	1737317	104	3	104	10427	10425	SALTOS	1	104
231	51	10702	Agua Blanca	15.69191665	-87.64218668	431192.3	1737272	107	3	107	10702	10701	AGUA BLANCA	1	107
232	1178	50621	La Junta	15.6912024	-87.81668021	412494.5	1737193	506	3	506	50621	50622	LA JUNTA O BOTIJA	5	506
233	255	10412	El Urraco	15.68964732	-86.44023397	559977	1737021	104	3	104	10412	10411	EL URRACO	1	104
234	214	10208	El Pino	15.68945746	-86.90910063	509739.4	1737000	102	3	102	10208	10206	EL PINO	1	102
235	978	50238	Santa Marta	15.68942129	-87.97649167	395368.5	1736996	502	3	502	50238	50241	SANTA MARTHA	5	502
236	239	20207	El Satal	15.68909581	-86.35574754	569030	1736960	202	3	202	20207	20202	EL SATAL	2	202
237	194	10329	San Jose	15.6880832	-87.18083503	480624.3	1736848	103	3	103	10329	10334	SAN JOSE	1	103
239	1204	50234	Rio Bijao	15.68782101	-87.92772499	400593.6	1736819	502	3	502	50234	50201	BIJAO	5	502
240	219	10424	Quebrada Grande	15.6863473	-86.56900265	546180.3	1736656	104	3	104	10424	10422	QUEBRADA GRANDE	1	104
241	1249	50303	Barra de Cuyamel	15.68590428	-88.19991278	371423.2	1736607	503	3	503	50303	50302	BARRA DE CUYAMEL	5	503
244	97	10806	Coloradito	15.68503633	-87.33054446	464582.9	1736511	108	3	108	10806	10308	COLORADITO	1	103
245	232	10112	Las Mangas	15.68341796	-86.72455402	529513.6	1736332	101	3	101	10112	10104	LAS MANGAS	1	101
246	397	20105	Ilanga	15.6816459	-86.08788843	597736.2	1736136	201	3	201	20105	20105	ILANGA	2	201
247	50	10758	Peman o Uluita Adentro	15.68134754	-87.62738541	432774.8	1736103	107	3	107	10758	10738	PEMAN	1	107
248	1179	50617	Guanacastales	15.68028068	-87.82649007	411438.6	1735985	506	3	506	50617	50620	GUANACASTALES	5	506
249	1246	50317	Muchilena	15.67972013	-88.10705595	381371.1	1735923	503	3	503	50317	50316	MUCHILENA	5	503
251	37	10734	La Esperanza de Santiago	15.67878889	-87.50941883	445414.8	1735820	107	3	107	10734	10720	LA ESPERANZA DE SANT	1	107
253	1201	50220	La Hicaca o San Isidro	15.67515434	-87.99953107	392892.1	1735418	502	3	502	50220	50224	LA ICACA O SAN ISIDR	5	502
255	1247	50311	El Paraiso	15.67413269	-88.1114513	380896.8	1735305	503	3	503	50311	50310	EL PARAISO	5	503
257	215	10209	La Ruidosa	15.67312912	-86.94786631	505586.3	1735194	102	3	102	10209	10207	LA RUIDOSA	1	102
258	99	10720	El Dorado	15.67255953	-87.41494139	455537.1	1735131	107	0	108	10720	10709	EL DORADO	1	107
259	1008	180436	La Curva o Kilometro Cuarenta y Cinco	15.67158308	-87.80766641	413452.1	1735023	1804	3	1804	180436	180423	COLONIA LA CURVA	18	1804
260	1241	50230	Nueva Florida	15.67123951	-88.03773539	388795.6	1734985	502	3	502	50230	50236	NUEVA FLORIDA	5	502
261	180	10606	Micelly	15.67058855	-87.0271738	497088.2	1734913	106	3	106	10606	10606	MICELLY	1	106
262	2081	90208	Las Marias	15.6701817	-84.83403959	732152.9	1734868	902	3	902	90208	90205	LAS MARIAS	9	902
264	1252	50328	Veracruz	15.66568823	-88.12120692	379846.3	1734371	503	3	503	50328	50326	VERACRUZ	5	503
265	233	20205	El Cenizo	15.66549837	-86.39440355	564895.4	1734350	202	3	202	20205	20201	CENIZO	2	202
266	257	10417	Jalan	15.66450384	-86.48907412	554750.5	1734240	104	3	104	10417	10416	JALAN	1	104
267	48	10761	Procon	15.66422356	-87.6102976	434600.4	1734209	107	3	107	10761	10714	EL PROCON	1	107
268	408	20917	Taujica	15.66345506	-85.93643294	613977.2	1734124	209	3	209	20917	20915	TANJICA	2	209
269	392	20811	El Guayabal	15.66313862	-86.19274379	586507.5	1734089	208	3	208	20811	20713	EL GUAYABAL	2	207
270	106	10801	Arizona	15.66265944	-87.3304067	464593.8	1734036	108	3	108	10801	10302	ARIZONA	1	103
271	1177	50637	Ticamaya	15.66263232	-87.83955034	410031.3	1734033	506	3	506	50637	50636	TICAMAYA	5	506
273	1251	50320	Pueblo Nuevo	15.6606975	-88.13431338	378438.6	1733819	503	3	503	50320	50318	PUEBLO NUEVO	5	503
274	18	10411	El Naranjo	15.66061613	-86.46787997	557022.8	1733810	104	3	104	10411	10410	EL NARANJO	1	104
275	105	10310	El Jazmin	15.65997421	-87.30070807	467775.9	1733739	103	3	103	10310	10311	EL JAZMIN	1	103
277	1240	50227	Los Planes	15.65860899	-88.01743355	390964.7	1733588	502	3	502	50227	50233	LOS PLANES	5	502
